GEOID,avg_annual_crimes,population,crimes_per_1k
17031160800,365.6,5236,69.8
17031160900,203.2,2420,84.0
17031161000,172.46666666666667,1986,86.8
17031161100,178.13333333333333,2024,88.0
17031161200,155.6,2873,54.2
17031161300,327.46666666666664,3769,86.9
17031170100,103.4,2030,50.9
17031170200,170.8,3752,45.5
17031170300,254.4,4981,51.1
17031170400,165.26666666666668,3989,41.4
17031170500,166.4,5161,32.2
17031170600,65.8,2490,26.4
17031170700,102.06666666666666,3260,31.3
17031170800,156.73333333333332,4009,39.1
17031170900,59.666666666666664,1970,30.3
17031171000,328.93333333333334,6829,48.2
17031171100,182.06666666666666,4103,44.4
17031180100,253.86666666666667,6544,38.8
17031190100,223.66666666666666,2338,95.7
17031190200,355.53333333333336,5858,60.7
17031190300,371.0,5289,70.1
17031190401,252.93333333333334,4119,61.4
17031190402,305.6,4896,62.4
17031190601,280.6666666666667,3986,70.4
17031190602,299.26666666666665,5554,53.9
17031190701,165.26666666666668,2835,58.3
17031190702,311.53333333333336,4707,66.2
17031190800,395.4,6049,65.4
17031190900,142.2,1869,76.1
17031191000,192.2,2556,75.2
17031191100,521.8666666666667,6651,78.5
17031191200,400.0,3775,106.0
17031191301,312.4,5211,60.0
17031191302,363.46666666666664,4439,81.9
17031200100,234.8,3666,64.0
17031200200,374.0,4435,84.3
17031200300,134.26666666666668,1866,72.0
17031200401,222.2,3408,65.2
17031200402,278.3333333333333,5072,54.9
17031210100,281.93333333333334,4194,67.2
17031210400,171.66666666666666,2491,68.9
17031210501,289.8,2866,101.1
17031210502,265.2,4412,60.1
17031210601,184.93333333333334,2818,65.6
17031210602,312.73333333333335,4362,71.7
17031210700,206.06666666666666,3724,55.3
17031210800,77.0,1142,67.4
17031210900,163.13333333333333,3174,51.4
17031220300,133.0,1998,66.6
17031220400,180.13333333333333,2670,67.5
17031220500,240.53333333333333,2810,85.6
17031220601,127.0,1538,82.6
17031220602,341.8,4316,79.2
17031220701,193.4,3077,62.9
17031220702,305.06666666666666,3959,77.1
17031220901,230.93333333333334,3090,74.7
17031220902,194.66666666666666,3194,60.9
17031221000,177.2,2571,68.9
17031221100,283.06666666666666,4542,62.3
17031221200,180.93333333333334,2865,63.2
17031221300,256.8666666666667,3011,85.3
17031221400,307.8,3083,99.8
17031221500,207.73333333333332,2767,75.1
17031221600,173.53333333333333,3389,51.2
17031222200,156.93333333333334,2243,70.0
17031222500,106.2,1468,72.3
17031222600,130.73333333333332,1608,81.3
17031222700,142.93333333333334,2202,64.9
17031222800,89.13333333333334,1052,84.7
17031222900,127.86666666666666,986,129.7
17031230100,117.93333333333334,1636,72.1
17031230200,167.86666666666667,1977,84.9
17031230300,68.06666666666666,905,75.2
17031230400,260.2,2116,123.0
17031230500,503.3333333333333,3080,163.4
17031230600,897.4,8977,100.0
17031230700,737.2,5773,127.7
17031230800,141.73333333333332,1029,137.7
17031230900,541.0,4903,110.3
17031231100,251.46666666666667,1362,184.6
17031231200,1452.7333333333333,5957,243.9
17031231500,1607.1333333333334,5809,276.7
17031240200,119.2,1966,60.6
17031240300,128.93333333333334,1272,101.4
17031240500,266.8666666666667,2515,106.1
17031240600,101.86666666666666,1639,62.2
17031240700,106.86666666666666,1634,65.4
17031240800,110.86666666666666,1480,74.9
17031240900,354.6666666666667,1093,324.5
17031241000,310.6,1792,173.3
17031241100,353.53333333333336,3650,96.9
17031241200,187.4,1698,110.4
17031241300,136.46666666666667,1888,72.3
17031241400,782.6,5584,140.2
17031241500,423.73333333333335,2823,150.1
17031241600,329.3333333333333,3397,96.9
17031242000,317.6,4378,72.5
17031242100,290.26666666666665,3817,76.0
17031242200,217.73333333333332,4014,54.2
17031242300,198.13333333333333,3805,52.1
17031242400,269.0,2705,99.4
17031242500,214.06666666666666,3255,65.8
17031242600,453.53333333333336,5512,82.3
17031242700,167.2,1837,91.0
17031242800,149.93333333333334,1450,103.4
17031242900,139.26666666666668,2032,68.5
17031243000,206.73333333333332,2223,93.0
17031243100,157.06666666666666,2159,72.7
17031243200,182.26666666666668,2329,78.3
17031243300,207.93333333333334,2285,91.0
17031243400,229.93333333333334,2931,78.4
17031243500,402.0,4567,88.0
17031250200,426.06666666666666,3051,139.6
17031250300,594.0,4844,122.6
17031250400,676.7333333333333,5513,122.8
17031250500,305.26666666666665,6903,44.2
17031250600,522.4,4542,115.0
17031250700,748.4,6466,115.7
17031250800,553.4,2693,205.5
17031251000,321.73333333333335,1380,233.1
17031251100,799.2,4544,175.9
17031251200,659.0,3840,171.6
17031251300,718.1333333333333,4915,146.1
17031251400,708.4666666666667,3712,190.9
17031251500,922.0666666666667,4324,213.2
17031251600,810.5333333333333,4456,181.9
17031251700,399.6666666666667,1291,309.6
17031251800,1584.0,5399,293.4
17031251900,1419.0666666666666,5086,279.0
17031252000,792.6,6308,125.6
17031252101,431.8666666666667,1492,289.5
17031252102,1188.4,7020,169.3
17031252201,594.9333333333333,3258,182.6
17031252202,1348.4666666666667,4945,272.7
17031260100,410.6,1016,404.1
17031260200,698.1333333333333,1232,566.7
17031260300,431.73333333333335,1878,229.9
17031260400,429.53333333333336,939,457.4
17031260500,655.1333333333333,1767,370.8
17031260600,538.6666666666666,2398,224.6
17031260700,857.7333333333333,1524,562.8
17031260800,802.4,2001,401.0
17031260900,389.53333333333336,1351,288.3
17031261000,428.93333333333334,2268,189.1
17031270500,558.4,1380,404.6
17031271200,414.53333333333336,1384,299.5
17031271300,437.53333333333336,964,453.9
17031271400,311.6666666666667,1359,229.3
17031271500,250.33333333333334,1470,170.3
17031271800,306.1333333333333,656,466.7
17031280100,590.4666666666667,7730,76.4
17031280400,282.8666666666667,1423,198.8
17031280800,202.6,852,237.8
17031280900,182.66666666666666,1122,162.8
17031281900,513.6666666666666,6749,76.1
17031282700,330.93333333333334,2243,147.5
17031282800,132.46666666666667,1498,88.4
17031283100,175.6,2729,64.3
17031283200,178.26666666666668,1727,103.2
17031283800,232.46666666666667,3504,66.3
17031290900,945.4666666666667,4241,222.9
17031291200,575.0,1312,438.3
17031291600,84.0,1429,58.8
17031292200,546.6666666666666,2540,215.2
17031292400,434.6,1765,246.2
17031292500,598.8,3461,173.0
17031300500,171.73333333333332,3240,53.0
17031300600,242.46666666666667,2844,85.3
